evaluation_month,n_common_sample_months,model,permno,weight
2021-12,114,Minimum Variance Long Only,60871,0.0
2021-12,114,Minimum Variance Long Only,53613,0.0
2021-12,114,Minimum Variance Long Only,12369,0.0
2021-12,114,Minimum Variance Long Only,60442,0.0
2021-12,114,Minimum Variance Long Only,45751,0.0
2021-12,114,Minimum Variance Long Only,89006,0.0
2021-12,114,Minimum Variance Long Only,71563,0.0
2021-12,114,Minimum Variance Long Only,13901,0.0
2021-12,114,Minimum Variance Long Only,82642,0.0
2021-12,114,Minimum Variance Long Only,62148,0.0
